,Callsign,Service,Channel,City,State,Country,Facility ID Number (unique to each station),N (North) or S (South) Latitude,Degrees Latitude,Minutes Latitude,Seconds Latitude,W (West) or (E) East Longitude,Degrees Longitude,Minutes Longitude,Seconds Longitude,Licensee or Permittee,long_decimal,lat_decimal
12363,K242CK,FX,242,TAHLEQUAH,OK,US,156847,N,35,53,43.3,W,94,57,12.8,"K95.5, INC.",-94.95355555555555,35.89536111111111
12364,KKJC-LP,FL,242,MCMINNVILLE,OR,US,135679,N,45,9,38.4,W,123,9,18.3,"CALVARY CHAPEL OF MCMINNVILLE, INC",-123.15508333333334,45.160666666666664
12365,K242DD,FX,242,ROSEBURG,OR,US,203199,N,43,12,21.4,W,123,21,54.3,SOUTHERN OREGON UNIVERSITY,-123.36508333333333,43.20594444444445
12366,K242AX,FX,242,THE DALLES,OR,US,147659,N,45,42,42.4,W,121,7,2.3,THE KBOO FOUNDATION,-121.11730555555555,45.71177777777778
12367,K242AX,FX,242,THE DALLES,OR,US,147659,N,45,42,42.4,W,121,7,2.2,THE KBOO FOUNDATION,-121.11727777777777,45.71177777777778
12368,KKWA,FM,242,WEST LINN,OR,US,13581,N,45,29,19.4,W,122,41,44.3,HOPE MEDIA GROUP,-122.6956388888889,45.48872222222222
12369,KKWA,FS,242,WEST LINN,OR,US,13581,N,45,29,19.4,W,122,41,44.4,HOPE MEDIA GROUP,-122.69566666666667,45.48872222222222
12370,W242CY,FX,242,BERWICK,PA,US,200948,N,41,0,28.3,W,76,22,17.8,"SOUTHERN BELLE, LLC",-76.37161111111111,41.00786111111111
12371,W242BY,FX,242,CHAMBERSBURG,PA,US,145587,N,39,55,41.3,W,77,41,43.0,ALPHA MEDIA LICENSEE LLC,-77.69527777777778,39.92813888888889
12372,W242CU,FX,242,ERIE,PA,US,146827,N,42,6,15.0,W,80,4,9.0,"RADIO LICENSE HOLDING CBC, LLC",-80.06916666666666,42.10416666666667
12373,WJSA-FM,FM,242,JERSEY SHORE,PA,US,33085,N,41,13,45.3,W,77,22,0.9,MONTROSE BROADCASTING CORPORATION,-77.36691666666665,41.22925
12374,WJSA,FB,242,JERSEY SHORE,PA,US,757445,N,41,11,43.0,W,76,58,17.0,MONTROSE BRAODCASTING CORPORATION,-76.9713888888889,41.195277777777775
12375,WLOQ,FM,242,OIL CITY,PA,US,63289,N,41,23,45.2,W,79,39,52.1,EDUCATIONAL MEDIA FOUNDATION,-79.66447222222223,41.39588888888889
12376,WKSP,FM,242,AIKEN,SC,US,46966,N,33,41,6.5,W,81,55,35.4,"IHM LICENSES, LLC",-81.9265,33.685138888888886
12377,WKSP,FS,242,AIKEN,SC,US,46966,N,33,30,23.0,W,81,57,43.0,"IHM LICENSES, LLC",-81.96194444444444,33.506388888888885
12378,WOHM-LP,FL,242,CHARLESTON,SC,US,195374,N,32,48,46.3,W,79,57,6.9,MEDIA REFORM SC,-79.95191666666668,32.81286111111111
12379,W242CB,FX,242,FLORENCE,SC,US,142029,N,34,12,12.6,W,79,51,51.2,"COMMUNITY BROADCASTERS, LLC",-79.86422222222221,34.203500000000005
12380,W242BX,FX,242,GREENVILLE,SC,US,156099,N,34,56,27.4,W,82,24,40.4,TED A MCCALL,-82.41122222222222,34.94094444444444
12381,W242AH,FX,242,SUMTER,SC,US,84628,N,33,54,50.5,W,80,20,35.2,"BIBLE BROADCASTING NETWORK, INC.",-80.3431111111111,33.914027777777775
12382,KZMX-FM,FM,242,HOT SPRINGS,SD,US,46712,N,43,26,33.9,W,103,27,28.7,"MT. RUSHMORE BROADCASTING, INC.",-103.45797222222222,43.44275
12383,K242CH,FX,242,PIERRE,SD,US,58386,N,44,22,57.9,W,100,20,36.5,SOUTH DAKOTA BOARD OF DIRECTORS FOR ED. TELECOMMUNICATIONS,-100.34347222222222,44.38275
12384,K242BK,FX,242,RAPID CITY,SD,US,158530,N,44,4,7.0,W,103,15,3.7,"RIVERFRONT BROADCASTING, LLC",-103.25102777777778,44.06861111111112
12385,W242CQ,FX,242,COLONIAL HEIGHTS,TN,US,143038,N,36,26,3.3,W,82,8,2.4,APPALACHIAN EDUCATIONAL COMMUNICATION CORPORATION,-82.134,36.43425
12386,W242DH,FX,242,CROSSVILLE,TN,US,148738,N,35,57,1.0,W,85,2,9.0,"PEG BROADCASTING, LLC",-85.03583333333333,35.95027777777778
